date,annual_members,single_trip_passes,single_day_passes,three_day_passes,total_annual_members
01/2019,4444,13582,8468,602,151534
02/2019,4429,16452,9449,730,148447
03/2019,8629,36548,23425,1742,150929
04/2019,15666,73688,52668,3381,152482
05/2019,21433,107064,58188,4500,152309
06/2019,23286,169308,64979,4521,152314
07/2019,22429,184887,59353,4715,153346
08/2019,20936,61492,62686,5198,146567
09/2019,24009,208365,57267,5196,153536
10/2019,15618,155279,40204,3703,152465
11/2019,9739,85901,19888,1881,152465
12/2019,7431,43395,10816,993,149740
01/2020,6103,58945,11612,805,149848
02/2020,6055,56992,11291,830,150332
03/2020,11572,100137,19425,1396,150332
04/2020,20591,102750,22740,1017,152181
05/2020,48298,290303,71203,2645,175626
06/2020,29045,396659,73812,3406,177716
07/2020,21246,429118,58762,2957,177714
08/2020,20131,516554,55284,2738,177548
09/2020,20131,539825,46881,2048,177850
10/2020,18779,480004,30991,0,175316
11/2020,12710,332042,20281,0,173961
12/2020,4941,158144,7052,0,167556
01/2021,5751,143025,5600,0,167802
02/2021,3975,498333,2362,0,167802
03/2021,10219,349767,13336,0,166584
04/2021,14689,435395,18742,0,168362
05/2021,23026,373321,29356,0,151580
06/2021,24345,900087,33326,0,149024
07/2021,22211,912666,34941,0,148814
08/2021,36972,898124,27302,0,149404
09/2021,24716,945380,26909,0,150162
10/2021,13570,776595,18351,0,149006
